id_cliente,nome,estado,cidade,regiao,segmento,porte,data_cadastro
25,Rafael Ribeiro,ES,Vila Velha,Sudeste,B2C,Pequeno,2024-04-21
26,Thiago Carvalho,MT,Várzea Grande,Centro-Oeste,B2B,Grande,2025-10-28
27,Camila Carvalho,BA,Feira de Santana,Nordeste,B2B,Pequeno,2023-01-28
28,Carlos Souza,RJ,Rio de Janeiro,Sudeste,B2C,Grande,2024-04-21
29,Mateus Santos,ES,Vila Velha,Sudeste,B2B,Médio,2023-02-13
30,Thiago Souza,PR, FOZ DO IGUAÇU ,Sul,B2B,Grande,2023-09-12
31,André Souza,SP,Ribeirão Preto,Sudeste,B2C,Pequeno,2024-09-24
32,Fernanda Pereira,ES,Serra,Sudeste,B2B,Grande,2024-04-29
33,Patrícia Costa,SC,Chapecó,Sul,B2B,Pequeno,2025-05-27
34,Bruno Costa,BA,Feira de Santana,Nordeste,B2C,Pequeno,2024-05-13
35,Camila Santos,PA,Ananindeua,Norte,B2C,Médio,2023-06-12
36,Felipe Souza,ES,Cariacica,Sudeste,B2C,Médio,2023-05-03
37,Amanda Oliveira,GO,Goiânia,Centro-Oeste,B2B,Pequeno,2023-10-09
38,Renata Santos,SP,Ribeirão Preto,Sudeste,B2C,Grande,2025-02-06
39,Bruno Gomes,DF,Brasília,Centro-Oeste,B2B,Pequeno,2025-10-18
40,Fernanda Pereira,DF,Brasília,Centro-Oeste,B2C,Pequeno,2024-08-30
41,Renata Santos,MS,Campo Grande,Centro-Oeste,B2B,Grande,2024-02-18
42,Mariana Silva,SC,Florianópolis,Sul,B2C,Grande,2023-11-07
43,André Silva,ES,Cariacica,Sudeste,B2C,Grande,2025-02-08
44,Mariana Almeida,ES,Cariacica,Sudeste,B2C,Grande,2024-02-23
45,Felipe Souza,MS,Campo Grande,Centro-Oeste,B2C,Pequeno,2023-03-19
46,Carlos Carvalho,MT,Várzea Grande,Centro-Oeste,B2B,Pequeno,2024-05-02
47,Mariana Santos,MT,Sinop,Centro-Oeste,B2C,Médio,2025-06-27
48,Aline Almeida,MS,Campo Grande,Centro-Oeste,B2C,Pequeno,2024-11-04
49,Patrícia Oliveira,MT,Sinop,Centro-Oeste,B2B,Grande,2023-10-02
50,Felipe Oliveira,MG,Belo Horizonte,Sudeste,B2C,Médio,2024-07-23
51,André Ribeiro,ES,Vila Velha,Sudeste,B2B,Grande,2024-10-12
52,Renata Pereira,PE,Caruaru,Nordeste,B2C,Pequeno,2023-03-23
53,Larissa Almeida,RS,Santa Maria,Sul,B2C,Médio,2025-12-02
54,Larissa Almeida,GO,Aparecida de Goiânia,Centro-Oeste,B2C,Grande,2025-04-29
55,Camila Santos,MG,Juiz de Fora,Sudeste,B2B,Médio,2024-08-13
56,João Ribeiro,PR,Maringá,Sul,B2C,Médio,2023-02-18
57,Aline Souza,MG,Contagem,Sudeste,B2C,Pequeno,2024-04-14
58,Mateus Souza,PE,Olinda,Nordeste,B2C,Grande,2024-11-09
59,João Oliveira,PR,Foz do Iguaçu,Sul,B2B,Médio,2024-12-02
60,Juliana Carvalho,GO,Rio Verde,Centro-Oeste,B2B,Médio,2024-05-11
61,Rafael Almeida,PE,Recife,Nordeste,B2C,Grande,2024-02-26
62,Fernanda Carvalho,RJ,Niterói,Sudeste,B2B,Médio,2023-04-21
63,Patrícia Ribeiro,RS,Santa Maria,Sul,B2C,Médio,2024-05-23
64,Felipe Ribeiro,GO,Aparecida de Goiânia,Centro-Oeste,B2C,Médio,2024-03-31
65,Lucas Souza,ES,Vitória,Sudeste,B2C,Grande,2025-02-20
66,Renata Pereira,MT,Cuiabá,Centro-Oeste,B2C,Grande,2025-12-03
67,Mariana Souza,RJ,Niterói,Sudeste,B2C,Grande,2024-10-20
68,Thiago Almeida,SC,Joinville,Sul,B2C,Grande,2024-01-11
69,Bruno Gomes,GO,Aparecida de Goiânia,Centro-Oeste,B2C,Pequeno,2025-06-24
70,Lucas Pereira,SC,Chapecó,Sul,B2B,Médio,2023-01-13
71,Beatriz Oliveira,PR,Maringá,Sul,B2B,Grande,2023-05-13
72,Beatriz Souza,RJ,Campos dos Goytacazes,Sudeste,B2B,Médio,2025-10-03
73,Thiago Ribeiro,RS,Porto Alegre,Sul,B2B,Médio,2023-05-24
74,Amanda Santos,ES,Vila Velha,Sudeste,B2B,Pequeno,2024-01-30
75,João Costa,MS,Corumbá,Centro-Oeste,B2B,Grande,2023-04-17
76,Bruno Ribeiro,ES,Vila Velha,Sudeste,B2B,Grande,2023-10-17
77,Beatriz Silva,PE,Petrolina,Nordeste,B2C,Médio,2024-02-23
78,Amanda Costa,ES,Vitória,Sudeste,B2C,Grande,2023-09-15
79,Aline Silva,PA,Marabá,Norte,B2C,Médio,2023-07-07
80,Pedro Costa,CE,Sobral,Nordeeste,B2C,Médio,2023-12-22
81,Thiago Santos,MS,Dourados,Centro-Oeste,B2B,Pequeno,2024-02-23
82,Mateus Santos,MG,Belo Horizonte,Sudeste,B2B,Pequeno,2024-04-28
83,Larissa Souza,MT,Cuiabá,Centro-Oeste,B2C,Pequeno,2025-11-05
84,Rafael Gomes,SP,São Paulo,Sudeste,B2C,Médio,2023-06-10
85,Rafael Ribeiro,RS,Santa Maria,Sul,B2B,Grande,2025-05-22
86,João Oliveira,RJ,Petrópolis,Sudeste,B2C,Pequeno,2025-08-14
87,Aline Ribeiro,CE,Fortaleza,Nordeste,B2C,Grande,2024-09-29
88,Bruno Pereira,RS,Santa Maria,Sul,B2C,Pequeno,2023-12-03
89,Beatriz Carvalho,RJ,Niterói,Sudeste,B2C,Pequeno,2024-02-09
90,Juliana Santos,MT,Sinop,Centro-Oeste,B2B,Médio,2024-05-16
91,Renata Santos,BA,Ilhéus,Nordeste,B2C,Pequeno,2025-05-18
92,Thiago Almeida,BA,Salvador,Nordeste,B2C,Pequeno,2023-12-28
93,Camila Gomes,SC,Joinville,Sul,B2B,Médio,2024-05-24
94,Beatriz Gomes,RS,Pelotas,Sul,B2B,Grande,2024-09-12
95,Pedro Santos,BA,Feira de Santana,Nordeste,B2C,Pequeno,2024-08-07
96,André Souza,PA,Santarém,Norte,B2B,Médio,2025-07-07
97,Mariana Silva,MS,Dourados,Centro-Oeste,B2C,Pequeno,2024-02-17
98,Larissa Ribeiro,RJ,Niterói,Sudeste,B2C,Médio,2024-07-10
99,André Carvalho,SC,Florianópolis,Sul,B2B,Grande,2025-09-12
100,André Silva,ES,Cariacica,Sudeste,B2C,Grande,2023-06-13
101,Rafael Silva,RJ,Petrópolis,Sudeste,B2C,Médio,2025-01-06
102,André Souza,SC,Blumenau,Sul,B2C,Médio,2025-03-26
103,  MATEUS COSTA ,MT,Sinop,Centro-Oeste,B2C,Médio,2025-02-12
104,Rafael Ribeiro,RS,Pelotas,Sul,B2B,Grande,2023-12-10
105,André Pereira,MT,Várzea Grande,Centro-Oeste,B2B,Pequeno,2025-08-22
106,Aline Santos,MS,Campo Grande,Centro-Oeste,B2C,Grande,2025-06-22
107,Renata Oliveira,MS,Dourados,Centro-Oeste,B2B,Médio,2025-05-15
108,Larissa Carvalho,CE,Juazeiro do Norte,Nordeste,B2C,Médio,2025-10-31
109,  aline santos ,MT,Cuiabá,Centro-Oeste,B2C,Grande,2025-06-06
110,Aline Almeida,PE,Caruaru,Nordeste,B2C,Médio,2023-11-16
111,Carlos Souza,ES,Vitória,Sudeste,B2C,Grande,2025-09-14
112,Pedro Almeida,GO,Aparecida de Goiânia,Centro-Oeste,B2C,Médio,2023-02-10
113,Camila Almeida,MT,Sinop,Centro-Oeste,B2B,Pequeno,2025-02-20
114,Juliana Gomes,CE,Crato,Nordeste,B2C,Pequeno,2025-05-25
115,Mateus Souza,PR,Curitiba,Sul,B2B,Médio,2023-06-20
116,Mateus Almeida,PA,Ananindeua,Norte,B2B,Grande,2024-09-06
117,Mariana Souza,RJ,Niterói,Sudeste,B2C,Pequeno,2023-11-09
118,André Santos,MS,Dourados,Centro-Oeste,B2C,Grande,2023-12-26
119,Carlos Ribeiro,PR,Foz do Iguaçu,Sul,B2C,Médio,2024-06-10
120,Patrícia Oliveira,CE,Crato,Nordeste,B2C,Grande,2025-02-18
121,Juliana Oliveira,SC,Chapecó,Sul,B2C,Pequeno,2025-08-07
122,Felipe Gomes,GO,Aparecida de Goiânia,Centro-Oeste,B2B,Grande,2024-09-18
123,  André Souza ,ES,Vitória,Sudeste,B2C,Grande,2025-07-17
124,Patrícia Ribeiro,ES,Vitória,Sudeste,B2C,Médio,2024-08-03
125,Pedro Silva,ES,Vila Velha,Sudeste,B2B,Médio,2025-02-07
126,Renata Silva,PA,Marabá,Norte,B2B,Médio,2025-09-11
127,Rafael Santos,GO,Anápolis,Centro-Oeste,B2C,Pequeno,2023-05-28
128,Bruno Almeida,PA,Belém,Norte,B2B,Pequeno,2024-11-13
129,Aline Gomes,MS, dourados ,Centro-Oeste,B2C,Médio,2023-10-07
130,Carlos Almeida,PA,Santarém,Norte,B2B,Médio,2025-08-19
131,  Mateus Oliveira ,SP,São Paulo,Sudeste,B2B,Pequeno,2024-02-05
132,Fernanda Silva,go,Rio Verde,Centro-Oeste,B2C,Pequeno,2023-11-13
133,Fernanda Pereira,PE,Recife,Nordeste,B2B,Pequeno,2024-01-24
134,Patrícia Pereira,GO,Anápolis,Centro-Oeste,B2B,Pequeno,2023-01-09
135,Juliana Ribeiro,CE,Fortaleza,Nordeste,B2B,Médio,2023-01-27
136,Aline Oliveira,SP,Santos,Sudeste,B2B,Pequeno,2025-10-22
137,Carlos Pereira,ES,Serra,Sudeste,B2B,Médio,2025-02-05
138,Carlos Silva,CE,Fortaleza,Nordeste,B2B,Grande,2025-10-03
139,Larissa Ribeiro,CE,Fortaleza,Nordeste,B2C,Grande,2025-04-08
140,Mateus Costa,MS,Campo Grande,Centro-Oeste,B2C,Pequeno,2025-05-01
141,Mateus Silva,DF,Brasília,Centro-Oeste,B2B,Grande,2025-03-19
142,Larissa Gomes,MG,Uberlândia,Sudeste,B2C,Grande,2025-02-03
143,Beatriz Ribeiro,SP,Campinas,Sudeste,B2C,Grande,2025-02-25
144,Bruno Silva,CE,Sobral,Nordeste,B2C,Pequeno,2025-09-29
145,Beatriz Souza,MG,Uberlândia,Sudeste,B2B,Pequeno,2024-09-22
146,Bruno Souza,MG,Contagem,Sudeste,B2C,Grande,2023-05-26
147,Amanda Souza,SP,Santos,Sudeste,B2B,Médio,2025-04-17
148,André Almeida,DF,Brasília,Centro-Oeste,B2C,Grande,2023-03-21
149,Pedro Carvalho,PR,Curitiba,Sul,B2B,Pequeno,2023-09-12
150,André Carvalho,SC,Blumenau,Sul,B2B,Pequeno,2025-02-27
151,Amanda Silva,PE,Caruaru,Nordeste,B2C,Pequeno,2023-11-29
152,Amanda Souza,SC,Blumenau,Sul,B2C,Grande,2024-02-02
153,Juliana Carvalho,GO,Aparecida de Goiânia,Centro-Oeste,B2B,Médio,2025-06-12
154,Larissa Ribeiro,ES,Vitória,Sudeste,B2C,Pequeno,2024-06-06
155,Mariana Pereira,PE,Petrolina,Nordeste,B2C,Pequeno,2024-12-14
156,Carlos Costa,GO,Goiânia,Centro-Oeste,B2C,Grande,2025-11-09
157,André Pereira,CE,Sobral,Nordeste,B2B,Médio,2025-09-27
158,Fernanda Oliveira,ES,Cariacica,Sudeste,B2B,Grande,2025-01-24
159,Thiago Gomes,RJ,Niterói,Sudeste,B2C,Pequeno,2023-04-29
160,Mariana Souza,SP,São Paulo,Sudeste,B2C,Médio,2025-02-28
161,Lucas Gomes,PE,Caruaru,Nordeste,B2C,Médio,2025-05-18
162,Amanda Carvalho,PE,Caruaru,Nordeste,B2B,Pequeno,2024-05-20
163,Pedro Souza,MT,Sinop,Centro-Oeste,B2B,Médio,2024-05-11
164,Renata Santos,CE,Juazeiro do Norte,Nordeste,B2C,Médio,2025-09-05
165,Beatriz Pereira,PR,Londrina,Sul,B2C,Grande,2023-03-12
166,João Costa,MG,Belo Horizonte,Sudeste,B2C,Pequeno,2025-01-10
167,Rafael Santos,ES,Vitória,Sudeste,B2C,Pequeno,2023-02-27
168,Camila Pereira,CE,Fortaleza,Nordeste,B2C,Pequeno,2023-10-30
169,Bruno Gomes,BA,Ilhéus,Nordeste,B2C,Pequeno,2024-06-19
170,Renata Pereira,DF,Brasília,Centro-Oeste,B2B,Pequeno,2025-07-21
171,Amanda Ribeiro,MG,Contagem,Sudeste,B2C,Médio,2023-10-29
172,Lucas Ribeiro,SP,Santos,Sudeste,B2B,Grande,2024-06-04
173,Thiago Souza,MG,Juiz de Fora,Sudeste,B2C,Pequeno,2024-05-21
174,João Pereira,PR,Maringá,Sul,B2C,Grande,2023-11-27
175,Pedro Souza,MS,Dourados,Centro-Oeste,B2B,Grande,2023-01-26
176,Renata Oliveira,MT,Sinop,Centro-Oeste,B2B,Médio,2023-08-28
177,Felipe Pereira,MG,Contagem,Sudeste,B2B,Pequeno,2023-07-09
178,Amanda Santos,SP,Ribeirão Preto,Sudeste,B2B,Médio,2025-02-26
179,Mariana Santos,PR,Londrina,Sul,B2C,Pequeno,2025-03-25
180,Felipe Ribeiro,SC,Joinville,Sul,B2B,Médio,2023-06-14
181,Aline Pereira,PE,Caruaru,Nordeste,B2C,Grande,2025-11-27
182,Mateus Souza,MS,Dourados,Centro-Oeste,B2B,Pequeno,2024-01-22
183,Juliana Pereira,MT,Cuiabá,Centro-Oeste,B2C,Grande,2025-05-16
184,Mateus Silva,PE,Recife,Nordeste,B2C,Grande,2023-12-06
185,Mariana Oliveira,DF,Brasília,Centro-Oeste,B2C,Médio,2025-05-24
186,Felipe Oliveira,GO,Aparecida de Goiânia,Centro-Oeste,B2C,Pequeno,2024-06-01
187,Patrícia Ribeiro,MS,Campo Grande,Centro-Oeste,B2C,Grande,2024-09-10
188,Juliana Ribeiro,MS,Dourados,Centro-Oeste,B2C,Médio,2025-10-22
189,Lucas Souza,SC,Chapecó,Sul,B2B,Pequeno,2025-12-27
190,Rafael Oliveira,SC,Chapecó,Sul,B2C,Pequeno,2025-02-22
191,Renata Silva,ES,Vitória,Sudeste,B2B,Grande,2024-09-22
192,Camila Carvalho,PA,Marabá,Norte,B2B,Pequeno,2025-04-22
193,Renata Oliveira,MG,Juiz de Fora,Sudeste,B2C,Grande,2023-07-02
194,Juliana Oliveira,MS,Dourados,Centro-Oeste,B2B,Pequeno,2023-08-12
195,Mateus Pereira,PE,Recife,Nordeste,B2C,Médio,2024-12-06
196,Camila Silva,SP,Campinas,Sudeste,B2B,Grande,2023-10-20
197,Camila Santos,RS,Pelotas,Sul,B2C,Grande,2024-07-04
198,André Souza,PA,Marabá,Norte,B2B,Pequeno,2024-03-05
199,Camila Ribeiro,RS,Porto Alegre,Sul,B2C,Pequeno,2025-03-26
200,Juliana Carvalho,MT,Rondonópolis,Centro-Oeste,B2C,Grande,2024-09-22
201,João Santos,PR,Maringá,Sul,B2C,Pequeno,2023-01-14
202,Bruno Oliveira,PE,Caruaru,Nordeste,B2C,Médio,2023-12-11
203,Juliana Silva,PE,Recife,Nordeste,B2B,Pequeno,2025-10-04
204,Bruno Costa,PA,Belém,Norte,B2C,Médio,2023-01-04
205,Juliana Santos,MS,Três Lagoas,Centro-Oeste,B2B,Médio,2023-07-18
206,Felipe Oliveira,DF,Brasília,Centro-Oeste,B2B,Médio,2023-05-24
207,Pedro Almeida,PA,Ananindeua,Norte,B2B,Médio,2025-05-05
208,Mateus Gomes,RS,Porto Alegre,Sul,B2C,Médio,2025-12-11
209,André Santos,PA,Santarém,Norte,B2B,Pequeno,2025-05-03
210,Patrícia Costa,PE,Olinda,Nordeste,B2B,Médio,2024-08-13
211,Thiago Santos,DF,Brasília,Centro-Oeste,B2B,Pequeno,2025-06-01
212,André Silva,MG,Juiz de Fora,Sudeste,B2C,Médio,2023-12-16
213,Carlos Almeida,BA,Ilhéus,Nordeste,B2C,Grande,2023-12-28
214,Mariana Pereira,ES,Cariacica,Sudeste,B2B,Médio,2025-02-06
215,Rafael Pereira,RJ,Rio de Janeiro,Sudeste,B2C,Grande,2024-01-17
216,Camila Ribeiro,SC,Joinville,Sul,B2C,Médio,2023-10-03
217,Fernanda Ribeiro,PA,Ananindeua,Norte,B2B,Médio,2024-02-10
218,Mariana Silva,MT,Várzea Grande,Centro-Oeste,B2B,Médio,2025-09-23
219,Pedro Pereira,GO,Aparecida de Goiânia,Centro-Oeste,B2C,Grande,2024-01-08
220,Bruno Carvalho,PR,Maringá,Sul,B2B,Grande,2025-10-26
221,Felipe Silva,BA,Ilhéus,Nordeste,B2C,Médio,2023-08-14
222,Pedro Carvalho,ES,Cariacica,Sudeste,B2C,Pequeno,2025-07-11
223,Juliana Costa,ES,Vitória,Sudeste,B2C,Médio,2024-03-11
224,Mariana Almeida,ES,Serra,Sudeste,B2C,Grande,2024-01-16
225,Amanda Ribeiro,ES,Serra,Sudeste,B2C,Médio,2024-02-16
226,Pedro Almeida,RS,Porto Alegre,Sul,B2C,Grande,2023-05-01
227,Larissa Santos,MT,Várzea Grande,Centro-Oeste,B2B,Grande,2024-01-10
228,Felipe Silva,MT,Rondonópolis,Centro-Oeste,B2B,Grande,2024-01-28
229,Juliana Silva,DF,Brasília,Centro-Oeste,B2C,Médio,2024-06-15
230,Beatriz Ribeiro,sc,Florianópolis,Sul,B2C,Grande,2025-04-17
231,Carlos Costa,PE,Olinda,Nordeste,B2C,Grande,2025-06-21
232,Juliana Souza,ES,Serra,Sudeste,B2B,Médio,2023-08-12
233,Mariana Carvalho,GO,Goiânia,Centro-Oeste,B2C,Grande,2023-12-07
234,Mariana Souza,PE,Caruaru,Nordeste,B2B,Médio,2023-06-13
235,Thiago Ribeiro,MT,Sinop,Centro-Oeste,B2C,Grande,2024-08-23
236,Thiago Almeida,SP,Campinas,Sudeste,B2C,Pequeno,2023-06-25
237,Mariana Almeida,SP,Ribeirão Preto,Sudeste,B2B,Pequeno,2025-02-12
238,Thiago Ribeiro,GO,Anápolis,Centro Oeste,B2B,Grande,2023-09-13
239,João Santos,DF,Brasília,Centro-Oeste,B2C,Pequeno,2024-07-20
240,Juliana Almeida,MT,Rondonópolis,Centro-Oeste,B2C,Médio,2023-05-12
241,Bruno Carvalho,GO,Rio Verde,Centro-Oeste,B2C,Pequeno,2024-12-01
242,Larissa Pereira,RS, Porto Alegre ,Sul,B2B,Grande,2023-03-02
243,Fernanda Ribeiro,PA,Marabá,Norte,B2B,Grande,2024-04-25
244,Lucas Pereira,GO,Aparecida de Goiânia,Centro-Oeste,B2B,Médio,2025-09-05
245,Thiago Santos,MG,Belo Horizonte,Sudeste,B2B,Grande,2025-09-20
246,Juliana Carvalho,PE,Petrolina,Nordeste,B2B,Médio,2023-07-26
247,Amanda Costa,BA,Feira de Santana,Nordeste,B2B,Pequeno,2023-01-20
248,Patrícia Gomes,CE,Sobral,Nordeste,B2C,Pequeno,2023-05-06
249,Patrícia Santos,DF,Brasília,Centro-Oeste,B2C,Médio,2024-06-28
250,Beatriz Gomes,GO,Rio Verde,Centro-Oeste,B2B,Médio,2023-01-15
251,Bruno Souza,MT,Várzea Grande,Centro-Oeste,B2C,Grande,2023-03-27
252,Thiago Ribeiro,PR,Maringá,Sul,B2C,Pequeno,2023-07-18
253,Amanda Costa,SP,Campinas,Sudeste,B2B,Médio,2024-03-08
254,Rafael Santos,MG,Belo Horizonte,Sudeste,B2C,Pequeno,2025-12-05
255,Thiago Santos,SC,Blumenau,Sul,B2B,Médio,2023-01-15
256,Carlos Oliveira,ES,Vitória,Sudeste,B2B,Pequeno,2025-02-08
257,Lucas Silva,CE,Juazeiro do Norte,Nordeste,B2C,Grande,2025-12-01
258,André Gomes,MS,Campo Grande,Centro-Oeste,B2B,Pequeno,2024-06-28
259,Amanda Souza,DF,Brasília,Centro-Oeste,B2B,Pequeno,2025-09-22
260,Patrícia Almeida,BA,Salvador,Nordeste,B2B,Pequeno,2025-08-27
261,Larissa Santos,CE,Crato,Nordeste,B2B,Pequeno,2024-11-21
262,Fernanda Gomes,GO,Anápolis,Centro-Oeste,B2B,Pequeno,2025-05-29
263,Fernanda Santos,RS,Caxias do Sul,Sul,B2B,Grande,2024-11-20
264,João Silva,SP,Santos,Sudeste,B2B,Médio,2025-01-29
265,Pedro Almeida,MT,Sinop,Centro-Oeste,B2B,Pequeno,2024-12-03
266,André Oliveira,SP,Santos,Sudeste,B2C,Grande,2024-10-07
267,Beatriz Gomes,SC,Blumenau,Sul,B2C,Pequeno,2024-05-05
268,Mateus Ribeiro,RS,Caxias do Sul,Sul,B2C,Pequeno,2025-01-09
269,André Souza,ES,Vitória,Sudeste,B2B,Médio,2025-03-27
270,Patrícia Oliveira,MT,Várzea Grande,Centro-Oeste,B2B,Pequeno,2025-02-14
271,Patrícia Ribeiro,PE,Olinda,Nordeste,B2C,Grande,2023-04-28
272,Renata Carvalho,Rj,Rio de Janeiro,Sudeste,B2C,Grande,2024-12-30
273,Mariana Gomes,MG,Contagem,Sudeste,B2C,Médio,2024-11-07
274,Amanda Ribeiro,SP,Ribeirão Preto,Sudeste,B2B,Pequeno,2023-07-25
275,Juliana Ribeiro,PR,Curitiba,Sul,B2C,Grande,2023-01-07
276,Patrícia Oliveira,SP,São Paulo,Sudeste,B2C,Pequeno,2025-07-24
277,Aline Gomes,CE, sobral ,Nordeste,B2B,Pequeno,2025-04-02
278,Felipe Santos,SP,São Paulo,Sudeste,B2C,Pequeno,2023-10-12
279,Felipe Ribeiro,DF,Brasília,Centro-Oeste,B2B,Médio,2023-02-22
280,Aline Santos,SP,Santos,Sudeste,B2B,Pequeno,2023-09-09
281,Felipe Gomes,RJ,Campos dos Goytacazes,Sudeste,B2B,Grande,2025-12-22
282,Rafael Pereira,RJ,Rio de Janeiro,Sudeste,B2C,Pequeno,2024-07-26
283,André Pereira,ES,Vitória,Sudeste,B2C,Grande,2024-05-24
284,Mariana Costa,BA,Vitória da Conquista,Nordeste,B2B,Pequeno,2025-01-24
285,Renata Souza,PE,Recife,Nordeste,B2C,Grande,2025-07-14
286,João Oliveira,PR,Maringá,Sul,B2C,Grande,2025-08-31
287,André Almeida,SP,Campinas,Sudeste,B2C,Pequeno,2025-11-20
288,João Santos,SP,Santos,Sudeste,B2C,Pequeno,2025-04-26
289,Rafael Almeida,MG,Uberlândia,Sudeste,B2B,Grande,2024-01-20
290,Juliana Costa,MT,Várzea Grande,Centro-Oeste,B2C,Médio,2023-01-07
291,Renata Gomes,RJ, petrópolis ,Sudeste,B2B,Pequeno,2024-10-21
292,Juliana Silva,PR,Maringá,Sul,B2B,Médio,2023-02-04
293,Carlos Almeida,Es,Serra,Sudeste,B2C,Pequeno,2025-01-07
294,Fernanda Carvalho,SC,Chapecó,Sul,B2B,Pequeno,2023-04-04
295,Lucas Carvalho,BA,Salvador,Nordeste,B2C,Pequeno,2024-10-28
296,Fernanda Gomes,PE,Caruaru,Nordeste,B2C,Pequeno,2025-06-28
297,Lucas Costa,RS,Caxias do Sul,Sul,B2B,Médio,2024-04-23
298,Thiago Almeida,PE,Olinda,Nordeste,B2B,Pequeno,2025-09-19
299,Juliana Ribeiro,DF,Brasília,Centro-Oeste,B2B,Grande,2025-03-30
300,Renata Carvalho,CE,Fortaleza,Nordeste,B2B,Grande,2023-06-16
301,André Gomes,DF,Brasília,Centro-Oeste,B2C,Médio,2024-12-14
302,André Pereira,SP,São Paulo,Sudeste,B2C,Pequeno,2025-05-26
303,Juliana Gomes,MS,Dourados,Centro-Oeste,B2C,Grande,2025-09-02
304,Lucas Almeida,BA,Vitória da Conquista,Nordeste,B2B,Médio,2023-07-25
305,Mariana Almeida,CE,Sobral,Nordeste,B2B,Pequeno,2025-02-27
306,Bruno Gomes,PR,Maringá,Sul,B2B,Grande,2024-08-24
307,João Carvalho,RS,Caxias do Sul,Sul,B2C,Grande,2024-02-04
308,Renata Silva,RJ,Petrópolis,Sudeste,B2B,Médio,2023-10-21
309,Fernanda Carvalho,BA,Feira de Santana,Nordeste,B2C,Pequeno,2025-12-01
310,Larissa Silva,BA,Feira de Santana,Nordeste,B2B,Pequeno,2025-10-30
311,Rafael Almeida,DF,Brasília,Centro-Oeste,B2C,Grande,2023-03-07
312,João Gomes,MS,Três Lagoas,Centro-Oeste,B2C,Grande,2023-09-19
313,Bruno Silva,SP,Santos,Sudeste,B2B,Grande,2025-10-16
314,Felipe Almeida,GO,Aparecida de Goiânia,Centro-Oeste,B2B,Pequeno,2023-06-28
315,Mariana Santos,ES,Vitória,Sudeste,B2C,Médio,2024-09-09
316,Patrícia Costa,DF,Brasília,Centro-Oeste,B2C,Médio,2025-08-14
317,Mariana Almeida,BA,Salvador,Nordeste,B2B,Pequeno,2023-12-11
318,Felipe Almeida,PA,Ananindeua,Norte,B2B,Médio,2025-07-02
319,Felipe Souza,MG,Belo Horizonte,Sudeste,B2C,Grande,2023-08-25
320,Aline Silva,RS,Porto Alegre,Sul,B2B,Médio,2025-09-14
321,Renata Silva,ES,Cariacica,Sudeste,B2C,Médio,2024-05-08
322,Camila Santos,DF,Brasília,Centro-Oeste,B2C,Médio,2024-05-13
323,Rafael Silva,RS,Porto Alegre,Sul,B2B,Grande,2024-03-09
324,Lucas Santos,MG,Contagem,Sudeste,B2B,Pequeno,2023-12-16
325,Carlos Silva,SC,Chapecó,Sul,B2B,Grande,2023-07-03
326,Amanda Oliveira,MG,Uberlândia,Sudeste,B2B,Pequeno,2023-08-05
327,André Oliveira,MS,Corumbá,Centro-Oeste,B2B,Pequeno,2025-06-09
328,Aline Souza,MG,Juiz de Fora,Sudeste,B2C,Pequeno,2023-03-01
329,Larissa Santos,RS,Pelotas,Sul,B2C,Médio,2023-11-25
